Id,zone_FV,zone_RH,zone_RL,zone_RM,zone_c,YearBuilt,YearRemodAdd,bsmt_finish_yn,BsmtFinSF1,basement,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,bath_up_tot,bsmt_bath_tot,bath_tot,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageCars,WoodDeckSF,OpenPorchSF,log_porch,EnclosedPorch,3SsnPorch,ScreenPorch,SalePrice,OverallQual,OverallCond,ExterQual_NUM,ExterCond_NUM,bsmt_cond_NUM,bsmt_qual_NUM,KitchenQual_NUM,quality_tot,quality_mult,log_qual,zeros,TOT_rooms,log_ft_per_room,log_yfn,sold_yfn,sale_cond,sale_new,sale_other,sale_con,sale_deed,cond_norm,cond_abnorm,cond_ajdlnd,cond_partial,cond_other,Blmngtn,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,IDOTRR,MeadowV,Mitchel,NAmes,NoRidge,NridgHt,NWAmes,OldTown,Sawyer,SawyerW,Somerst,StoneBr,SWISU,Timber,Fix_LotFrontage,LotArea,NUM_BsmtQual,NUM_BsmtCond,NUM_BsmtExpos,NUM_Heat,CentralAir,Fireplaces,NUM_Fire,GarageArea,NUM_GarQual,NUM_GarCond,PavedDrive,TOT_Porch,LOG(bsmtun)
1,0,0,1,0,0,2003,2003,1,706,1,856,856,854,1710,1,0,2,1,2.5,1,3.5,3,1,7,2,0,61,1.785329835,0,0,0,208500,7,5,4,3,4,3,4,30,67,1.826074803,5,16,2.38789807,0.903089987,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,8450,4,3,0,5,1,0,0,548,3,3,1,61,2.176091259
2,0,0,1,0,0,1976,1976,1,978,1,1262,1262,0,1262,0,1,2,0,2,0.5,2.5,3,1,6,2,298,0,2.474216264,0,0,0,181500,6,8,3,3,4,3,3,30,75,1.875061263,7,18,2.322908105,1.544068044,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,9600,4,3,3,5,1,1,3,460,3,3,1,149,2.45331834
3,0,0,1,0,0,2001,2002,1,486,1,920,920,866,1786,1,0,2,1,2.5,1,3.5,3,1,7,2,0,42,1.62324929,0,0,0,223500,7,5,4,3,4,3,4,30,67,1.826074803,5,16,2.406783415,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,11250,4,3,1,5,1,1,3,608,3,3,1,42,2.63748973
4,0,0,1,0,0,1915,1970,1,216,1,756,961,756,1717,1,0,1,0,1,1,2,3,1,5,3,0,35,2.487138375,272,0,0,140000,7,5,3,3,3,4,4,29,64,1.806179974,5,13,2.535800291,1.982271233,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9550,3,4,0,4,1,1,4,642,3,3,1,579,2.73239376
5,0,0,1,0,0,2000,2000,1,655,1,1145,1145,1053,2198,1,0,2,1,2.5,1,3.5,4,1,8,3,192,84,2.440909082,0,0,0,250000,8,5,4,3,4,3,4,31,72,1.857332496,4,19,2.438937701,1.041392685,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,14260,4,3,2,5,1,1,3,836,3,3,1,180,2.69019608
6,0,0,1,0,0,1993,1995,1,732,1,796,796,566,1362,1,0,1,1,1.5,1,2.5,1,1,4,2,40,30,2.591064607,0,320,0,143000,5,5,3,3,4,3,3,26,52,1.716003344,3,12,2.532117116,1.255272505,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,85,14115,4,3,0,5,1,0,0,480,3,3,1,530,1.806179974
7,0,0,1,0,0,2004,2005,1,1369,1,1686,1694,0,1694,1,0,2,0,2,1,3,3,1,6,2,255,57,2.494154594,0,0,0,307000,8,5,4,3,5,3,4,32,75,1.875061263,6,22,2.450762156,0.84509804,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,10084,5,3,2,5,1,1,4,636,3,3,1,184.5,2.501059262
8,0,0,1,0,0,1973,1973,1,859,1,1107,1107,983,2090,1,0,2,1,2.5,1,3.5,3,1,7,2,235,204,2.824125834,228,0,0,200000,7,6,3,3,4,3,3,29,69,1.838849091,3,18,2.475048246,1.579783597,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10382,4,3,1,5,1,2,3,484,3,3,1,777.5,2.334453751
9,0,0,0,1,0,1931,1950,0,0,1,952,1022,752,1774,0,0,2,0,2,0,2,2,2,6,2,90,0,2.469822016,205,0,0,129900,7,5,3,3,3,3,3,27,59,1.770852012,9,15,2.470802365,1.903089987,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51,6120,3,3,0,4,1,2,3,468,2,3,1,455,2.978636948
10,0,0,1,0,0,1939,1950,1,851,1,991,1077,0,1077,1,0,1,0,1,1,2,2,2,5,1,0,4,0.602059991,0,0,0,118000,5,6,3,3,3,3,3,26,54,1.73239376,7,15,2.333245699,1.857332496,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7420,3,3,0,5,1,2,3,205,4,3,1,4,2.146128036
